internal,dataset
BrachialPlexus_L,^(l|lt|left)(\s|_)?brachial(\s|_)?plexus$
BrachialPlexus_R,^(r|rt|right)(\s|_)?brachial(\s|_)?plexus$
Brain,^brain$
BrainStem,^brain(\s|_)?stem$
Cochlea_L,^(l|lt|left)(\s|_)?cochlea$
Cochlea_R,^(r|rt|right)(\s|_)?cochlea$
Lens_L,^(l|lt|left)(\s|_)?lens$
Lens_R,^(r|rt|right)(\s|_)?lens$
Mandible,^mandible$
OpticNerve_L,^(l|lt|left)(\s|_)?optic(\s|_)?nerve$
OpticNerve_L,^(l|lt|left)(\s|_)?optic(\s|_)?n$
OpticNerve_R,^(r|rt|right)(\s|_)?optic(\s|_)?nerve$
OpticNerve_R,^(r|rt|right)(\s|_)?optic(\s|_)?n$
OralCavity,^oral(\s|_)?cavity$
OralCavity,^oral(\s|_)?cavity(\s|_)?oar$
Parotid_L,^(l|lt|left)(\s|_)?parotid((\s|_)?gland)?$
Parotid_L,^parotid(\s|_)?(l|lt|left)$
Parotid_R,^(r|rt|right)(\s|_)?parotid((\s|_)?gland)?$
Parotid_R,^parotid(\s|_)?(r|rt|right)$
SpinalCord,^cord$
SpinalCord,^spinal(\s|_)?cord$
Submandibular_L,^(l|lt|left)(\s|_)?submandibular((\s|_)?gland)?$
Submandibular_L,^submandibular(\s|_)?(l|lt|left)$
Submandibular_R,^(r|rt|right)(\s|_)?submandibular((\s|_)?gland)?$
Submandibular_R,^submandibular(\s|_)?(r|rt|right)$
