internal,dataset
BrachialPlexus_L,^lbrachialplexus$
BrachialPlexus_R,^rbrachialplexus$
Brain,^brain$
BrainStem,^b(r)?stem$
BrainStem,^brain(\s|_)?stem$
Lens_L,^(l|lt)(\s|_)?lens$
Lens_R,^(r|rt)(\s|_)?lens$
Mandible,^mandible$
OpticNerve_L,^loptic$
OpticNerve_L,^(l|lt)(\s|_)?optic(\s|_)?nerve$
OpticNerve_L,^optic(\s|_)?nerve(\s|_)?l$
OpticNerve_R,^roptic$
OpticNerve_R,^(r|lt)(\s|_)?optic(\s|_)?nerve$
OpticNerve_R,^optic(\s|_)?nerve(\s|_)?r$
Parotid_L,^(l|lt)(\s|_)?parotid$
Parotid_R,^(r|rt)(\s|_)?parotid$
SpinalCord,^cord$
SpinalCord,^spinal(\s|_)?cord$
Submandibular_L,^(l|lt)(\s|_)?submandibular
Submandibular_R,^(r|rt)(\s|_)?submandibular
