dataset,internal
^brachialplex(u|us)?_l$,BrachialPlexus_L
^brachialplex(u|us)?_r$,BrachialPlexus_R
^brainstem(_)?$,BrainStem
^cochlear$,Cochlea_R
^chiasm$,OpticChiasm
^ear_internal_l$,Cochlea_L
^ear_internal_r$,Cochlea_R
^glnd_submand_l$,Submandibular_L
^glnd_submand_r$,Submandibular_R
^gtvp_preop$,GTVp
^gtvp_7000$,GTVp
^mandible(_)?$,Mandible
^opticnerve_l$,OpticNerve_L
^opticnerve_r$,OpticNerve_R
^oral(_)?cavity$,OralCavity
^spinalcord_$,SpinalCord
^submandibular_l$,Submandibular_L
^submandibular_r$,Submandibular_R
